site,plot,position,population,mother,planned_seed_number,actual_seed_number,established_nr,altitude,site_altitude
findeln,2,53,Faldumalp,11A_Fior,8,8,0,high,high_altitude
findeln,2,52,Faldumalp,16C_Fior,10,10,0,high,high_altitude
findeln,2,27,Faldumalp,18B_Fior,10,10,0,high,high_altitude
findeln,2,10,Faldumalp,24_Fior,6,6,0,high,high_altitude
findeln,2,40,Gibidumsee,22_Fior,13,13,0,high,high_altitude
findeln,2,2,Gibidumsee,6_Fior,12,12,0,high,high_altitude
findeln,2,6,Gibidumsee,9_Fior,13,12,0,high,high_altitude
findeln,2,9,Grengiols,E_Suter,10,10,0,low,high_altitude
findeln,2,49,Grengiols,I_Quebre,10,10,0,low,high_altitude
findeln,2,61,Grengiols,J_Quebre,7,7,0,low,high_altitude
findeln,2,14,Simplonpass,B-B1_Widmer,10,10,0,high,high_altitude
findeln,2,59,Simplonpass,F_Widmer,6,6,0,high,high_altitude
findeln,2,72,Simplonpass,J_Widmer,3,2,0,high,high_altitude
findeln,2,21,Simplonpass,N_Widmer,10,10,0,high,high_altitude
findeln,2,50,Unterstalden,A_Quebre,12,12,0,low,high_altitude
findeln,2,70,Unterstalden,B_Quebre,7,7,0,low,high_altitude
findeln,2,69,Unterstalden,C_Quebre,8,8,0,low,high_altitude
findeln,2,60,Unterstalden,E_Suter,10,10,0,low,high_altitude
findeln,2,19,Unterstalden,G_Quebre,12,12,0,low,high_altitude
findeln,7,63,Faldumalp,11A_Fior,10,9,0,high,high_altitude
findeln,7,14,Faldumalp,14_Fior,10,10,0,high,high_altitude
findeln,7,24,Faldumalp,16C_Fior,10,10,0,high,high_altitude
findeln,7,11,Faldumalp,18B_Fior,10,10,0,high,high_altitude
findeln,7,7,Faldumalp,24_Fior,2,1,0,high,high_altitude
findeln,7,5,Gibidumsee,22_Fior,13,13,0,high,high_altitude
findeln,7,1,Gibidumsee,31_Fior,13,13,0,high,high_altitude
findeln,7,26,Gibidumsee,6_Fior,11,11,0,high,high_altitude
findeln,7,58,Gibidumsee,9_Fior,13,13,0,high,high_altitude
findeln,7,28,Grengiols,C_Quebre,10,10,0,low,high_altitude
findeln,7,23,Grengiols,E_Suter,10,10,0,low,high_altitude
findeln,7,17,Grengiols,I_Quebre,3,3,0,low,high_altitude
findeln,7,55,Grengiols,J_Quebre,4,4,0,low,high_altitude
findeln,7,52,Simplonpass,B-B1_Widmer,10,10,0,high,high_altitude
findeln,7,9,Simplonpass,F_Widmer,4,4,0,high,high_altitude
